Año,Mes cod,Mes,Vía,Frontera,País,Región,Región dos,Regiones OMT,MCEO,Agrupación Residencia,Tipo de Viajero,Viajero,Fecha
2009,1,Ene,Aérea,01 La Aurora,Albania,OTROS EUROPEOS,Europa,EUROPA MERIDIONAL,08 OTROS,Europa,Turista,1.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Alemania,EUROPA,Europa,EUROPA OCCIDENTAL,04 EUROPA,Europa,Turista,716.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Angola,OTROS PAISES DEL MUNDO,Otros Paises Del Mundo,ÁFRICA CENTRAL,08 OTROS,Resto del Mundo,Turista,4.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Arabia Saudita,OTROS ORIENTE MEDIO,Oriente Medio,ORIENTE MEDIO,08 OTROS,Resto del Mundo,Turista,5.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Argelia,OTROS PAISES DEL MUNDO,Otros Paises Del Mundo,ÁFRICA DEL NORTE,08 OTROS,Resto del Mundo,Turista,1.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Argentina,AMÉRICA DEL SUR,América Del Sur y el Caribe,AMÉRICA DEL SUR,03 SUDAMÉRICA,Suramérica,Turista,685.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Australia,OCEANÍA,Oceanía,AUSTRALASIA,06 RESTO DEL MUNDO,Resto del Mundo,Turista,204.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Austria,EUROPA,Europa,EUROPA OCCIDENTAL,08 OTROS,Europa,Turista,85.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Bahamas,OTROS CARIBEÑOS,América Del Sur y el Caribe,EL CARIBE,08 OTROS,Resto del Mundo,Turista,4.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Bangladesh,OTROS ASIA,Asia,ASIA MERIDIONAL,08 OTROS,Resto del Mundo,Turista,1.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Barbados,OTROS CARIBEÑOS,América Del Sur y el Caribe,EL CARIBE,08 OTROS,Resto del Mundo,Turista,1.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Belice,AMÉRICA DEL CENTRO,América Del Centro,AMÉRICA CENTRAL,01 CENTROAMÉRICA,Belice,Turista,67.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Benin,OTROS PAISES DEL MUNDO,Otros Paises Del Mundo,ÁFRICA OCCIDENTAL,08 OTROS,Resto del Mundo,Turista,1.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Bielorrusia,OTROS EUROPEOS,Europa,EUROPA CENTRAL/ORIENTAL,08 OTROS,Europa,Turista,2.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Bolivia (Estado Plurinacional de),OTROS SUDAMERICANOS,América Del Sur y el Caribe,AMÉRICA DEL SUR,08 OTROS,Suramérica,Turista,66.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Bosnia y Herzegovina,OTROS EUROPEOS,Europa,EUROPA MERIDIONAL,08 OTROS,Europa,Turista,5.0,2009-01-01
2009,1,Ene,Aérea,01 La Aurora,Botswana,OTROS PAISES DEL MUNDO,Otros Paises Del Mundo,ÁFRICA AUSTRAL,08 OTROS,Resto del Mundo,Turista,4.0,2009-01-01
